postgresql,stpv,inventario,almacen__producto,almacen_id,3,integer,,FOREIGN KEY,inventario,almacen,id
postgresql,stpv,inventario,telefono_proveedor,proveedor_id,2,integer,,FOREIGN KEY,inventario,proveedor,id
postgresql,stpv,inventario,lote__proveedor,proveedor_id,3,integer,,FOREIGN KEY,inventario,proveedor,id
postgresql,stpv,inventario,compra,lote_proveedor_id,2,integer,,FOREIGN KEY,inventario,lote__proveedor,id
postgresql,stpv,inventario,lote__proveedor,lote_id,2,integer,,FOREIGN KEY,inventario,lote,id
postgresql,stpv,stpv,venta__producto,producto_id,3,integer,,FOREIGN KEY,inventario,producto,id
postgresql,stpv,inventario,producto_historial,producto_id,2,integer,,FOREIGN KEY,inventario,producto,id
postgresql,stpv,inventario,producto_historial,producto_id,2,integer,,FOREIGN KEY,inventario,producto,id
postgresql,stpv,inventario,almacen__producto,producto_id,2,integer,,FOREIGN KEY,inventario,producto,id
postgresql,stpv,inventario,almacen__producto,producto_id,2,integer,,FOREIGN KEY,inventario,producto,id
postgresql,stpv,stpv,auth_user_groups,group_id,3,integer,,FOREIGN KEY,stpv,auth_group,id
postgresql,stpv,stpv,auth_group_permissions,group_id,2,integer,,FOREIGN KEY,stpv,auth_group,id
postgresql,stpv,stpv,auth_group_permissions,permission_id,3,integer,,FOREIGN KEY,stpv,auth_permission,id
postgresql,stpv,stpv,auth_user_user_permissions,permission_id,3,integer,,FOREIGN KEY,stpv,auth_permission,id
postgresql,stpv,inventario,cargos_descargos,usuario_id,3,integer,,FOREIGN KEY,stpv,auth_user,id
postgresql,stpv,stpv,auth_user_groups,user_id,2,integer,,FOREIGN KEY,stpv,auth_user,id
postgresql,stpv,stpv,auth_user_user_permissions,user_id,2,integer,,FOREIGN KEY,stpv,auth_user,id
postgresql,stpv,stpv,estado_caja,caja_id,2,integer,,FOREIGN KEY,stpv,caja,id
postgresql,stpv,stpv,empleado,cargo_id,7,integer,,FOREIGN KEY,stpv,cargo,id
postgresql,stpv,stpv,venta,cliente_id,2,integer,,FOREIGN KEY,stpv,cliente,id
postgresql,stpv,stpv,desglose_caja,corte_caja_id,2,integer,,FOREIGN KEY,stpv,corte_caja,id
